Metric,Value
total_latency_s,0.0005988610625
peak_buffer_MB,1.34814453125
avg_cache_util_MB,0.23694335368373423
total_energy_J,0.010940299202259873
average_power_W,18.268631844447643
average_power_mem_W,10.500250689431976
average_power_comp_W,7.359734787421934
average_power_net_W,0.40864636759348055
avg_mem_util,1.0
avg_comp_util,0.24733500401201686
chiplet_silicon_cost,19.761449983299933
memory_cost_2xHBLC,44.86232789645782
package_cost,272.07720751658167
package_silicon_cost,79.04579993319973
package_memory_cost,179.44931158583128
package_substrate_cost,13.582095997550658
system_cost,4379.530258116565
system_silicon_cost,1264.7327989311957
system_memory_cost,2871.1889853733005
system_substrate_cost,217.31353596081053
system_pcb_cost,26.294937851258076
num_packages,16
system_compute_TOPS,4194.304
system_bandwidth_TBps,32.768
system_capacity_GB,192.0
hblc_capacity_GB,1.5
hblc_bandwidth_GBps,256
hblc_bw_per_capacity,170.66666666666666
hblc_energy_total_pJ_per_bit,1.905
hblc_energy_io_pJ_per_bit,0.25
hblc_energy_tsv_pJ_per_bit,0.37
hblc_energy_movmem_pJ_per_bit,1.105
hblc_energy_act_pJ_per_bit,0.18
hblc_cost,22.43116394822891
hblc_cost_per_GB,14.954109298819274
model_name,llama3-8b
num_layers,32
sim_num_layers,32
batch_size,35
prefill_batch,False
prefill_chunk_size,0
prefill_cached,0
kv_cache,6990
w_dtype_B,0.5
kv_dtype_B,1.0
norm_dtype_B,0.5
sim_lm_head,False
num_chiplets,64
model_weight_capacity_GB,3.74116849899292
kv_cache_capacity_per_batch_GB,0.4266357421875
total_model_capacity_GB,18.67341947555542
hblc_bank_groups,4
hblc_ch_per_layer,1
hblc_ranks,1
hblc_frac_bank_cap,0.5
cores_per_cu,16
mem_buffer_size,1048576.0
net_buffer_size,1048576.0
tmacs_per_core,16
