Metric,Value
total_latency_s,0.0002054845625
peak_buffer_MB,0.089111328125
avg_cache_util_MB,0.00601167299383054
total_energy_J,0.0030198530667897407
average_power_W,14.696538835831447
average_power_mem_W,8.702892427552584
average_power_comp_W,5.718548162550902
average_power_net_W,0.2750982457277723
avg_mem_util,1.0
avg_comp_util,0.1445547542104365
chiplet_silicon_cost,20.789710932281228
memory_cost_2xHBLC,28.54875411592771
package_cost,207.126767796237
package_silicon_cost,83.15884372912491
package_memory_cost,114.19501646371084
package_substrate_cost,9.772907603401249
system_cost,3332.948633859977
system_silicon_cost,1330.5414996659986
system_memory_cost,1827.1202634193735
system_substrate_cost,156.36652165441998
system_pcb_cost,18.920349120184817
num_packages,16
system_compute_TOPS,4718.592
system_bandwidth_TBps,32.768
system_capacity_GB,96.0
hblc_capacity_GB,0.75
hblc_bandwidth_GBps,256
hblc_bw_per_capacity,341.3333333333333
hblc_energy_total_pJ_per_bit,1.515
hblc_energy_io_pJ_per_bit,0.25
hblc_energy_tsv_pJ_per_bit,0.37
hblc_energy_movmem_pJ_per_bit,0.7150000000000001
hblc_energy_act_pJ_per_bit,0.18
hblc_cost,14.274377057963855
hblc_cost_per_GB,19.032502743951806
model_name,llama3-8b
num_layers,32
sim_num_layers,32
batch_size,8
prefill_batch,False
prefill_chunk_size,0
prefill_cached,0
kv_cache,6173
w_dtype_B,0.5
kv_dtype_B,1.0
norm_dtype_B,0.5
sim_lm_head,False
num_chiplets,64
model_weight_capacity_GB,3.740973711013794
kv_cache_capacity_per_batch_GB,0.37677001953125
total_model_capacity_GB,6.755133867263794
hblc_bank_groups,2
hblc_ch_per_layer,1
hblc_ranks,1
hblc_frac_bank_cap,0.5
cores_per_cu,16
mem_buffer_size,1048576.0
net_buffer_size,1048576.0
tmacs_per_core,18
